ID,Rad,Ruta,Planta,Trial,Mum,Dad,Famly,Hjd_17,Hjd_7,Sprant_17,Htv_17,Vit_7,Lev_7,Lev_17,Trial_Famly,Trial_Ruta
IND_0732,1,1,5,S23F8820476,IND_0003,IND_0133,FAM_051,424,133,0,61,3,1,1,S23F8820476_FAM_051,S23F8820476_1
IND_1128,1,1,6,S23F8820476,IND_0833,IND_1160,FAM_047,348,97,0,40,3,1,1,S23F8820476_FAM_047,S23F8820476_1
IND_0035,1,1,7,S23F8820476,IND_0003,IND_0133,FAM_051,530,133,0,80,3,1,1,S23F8820476_FAM_051,S23F8820476_1
IND_0890,1,1,9,S23F8820476,IND_0855,IND_0865,FAM_056,355,97,0,82,3,1,1,S23F8820476_FAM_056,S23F8820476_1
IND_1031,2,1,2,S23F8820476,IND_1215,IND_0833,FAM_040,242,83,0,63,3,1,1,S23F8820476_FAM_040,S23F8820476_1
IND_0683,2,1,3,S23F8820476,IND_0100,IND_0689,FAM_104,445,168,0,60,3,1,1,S23F8820476_FAM_104,S23F8820476_1
IND_1142,2,1,5,S23F8820476,IND_0685,IND_1242,FAM_108,360,87,1,70,3,1,1,S23F8820476_FAM_108,S23F8820476_1
IND_0411,2,1,6,S23F8820476,IND_0400,IND_0833,FAM_079,412,140,0,42,3,1,1,S23F8820476_FAM_079,S23F8820476_1
IND_0928,2,1,7,S23F8820476,IND_1212,IND_0865,FAM_054,409,113,0,49,3,1,1,S23F8820476_FAM_054,S23F8820476_1
IND_0956,3,1,2,S23F8820476,IND_0442,IND_0698,FAM_105,310,73,0,92,3,1,1,S23F8820476_FAM_105,S23F8820476_1
IND_0289,3,1,3,S23F8820476,IND_0681,IND_1256,FAM_082,347,96,0,43,3,1,1,S23F8820476_FAM_082,S23F8820476_1
IND_0163,3,1,5,S23F8820476,IND_1069,IND_0865,FAM_012,390,124,0,56,3,1,1,S23F8820476_FAM_012,S23F8820476_1
IND_0530,3,1,8,S23F8820476,IND_0114,IND_0133,FAM_062,342,108,0,40,3,1,1,S23F8820476_FAM_062,S23F8820476_1
IND_1246,4,1,5,S23F8820476,IND_0681,IND_1242,FAM_066,362,123,1,59,3,1,1,S23F8820476_FAM_066,S23F8820476_1
IND_1089,4,1,6,S23F8820476,IND_0681,IND_1242,FAM_066,390,83,0,66,3,1,1,S23F8820476_FAM_066,S23F8820476_1
IND_0006,5,1,2,S23F8820476,IND_0400,IND_0263,FAM_124,290,111,0,43,3,1,1,S23F8820476_FAM_124,S23F8820476_1
IND_0332,5,1,6,S23F8820476,IND_1212,IND_0500,FAM_052,357,102,0,46,3,1,1,S23F8820476_FAM_052,S23F8820476_1
IND_0193,5,1,7,S23F8820476,IND_0134,IND_0865,FAM_009,364,127,0,44,3,1,1,S23F8820476_FAM_009,S23F8820476_1
IND_0265,5,1,8,S23F8820476,IND_0400,IND_0833,FAM_079,285,138,0,31,3,1,1,S23F8820476_FAM_079,S23F8820476_1
IND_0572,5,1,10,S23F8820476,IND_0134,IND_1256,FAM_019,262,96,0,39,3,1,1,S23F8820476_FAM_019,S23F8820476_1
IND_0620,6,1,5,S23F8820476,IND_0549,IND_0263,FAM_061,346,107,0,62,3,1,1,S23F8820476_FAM_061,S23F8820476_1
IND_0117,1,2,4,S23F8820476,IND_0100,IND_1252,FAM_026,485,145,0,67,3,1,1,S23F8820476_FAM_026,S23F8820476_2
IND_0097,1,2,5,S23F8820476,IND_0855,IND_0865,FAM_056,268,78,0,28,3,1,1,S23F8820476_FAM_056,S23F8820476_2
IND_1152,1,2,6,S23F8820476,IND_0100,IND_0689,FAM_104,431,118,0,59,3,1,1,S23F8820476_FAM_104,S23F8820476_2
IND_0813,1,2,7,S23F8820476,IND_0059,IND_0263,FAM_003,346,104,0,38,3,1,1,S23F8820476_FAM_003,S23F8820476_2
