ID,Rad,Ruta,Planta,Trial,Mum,Dad,Famly,Hjd_17,Hjd_7,Sprant_17,Htv_17,Vit_7,Lev_7,Lev_17,Trial_Famly,Trial_Ruta
IND_2820,4,48,4,S23F8820477,IND_0549,IND_0263,FAM_061,NA,NA,NA,NA,NA,0,0,S23F8820477_FAM_061,S23F8820477_48
IND_1494,4,48,2,S23F8820477,IND_0549,IND_0263,FAM_061,602,NA,2,123,NA,0,1,S23F8820477_FAM_061,S23F8820477_48
IND_4424,3,48,3,S23F8820477,IND_0549,IND_0263,FAM_061,476,NA,1,133,NA,0,1,S23F8820477_FAM_061,S23F8820477_48
IND_2095,3,48,2,S23F8820477,IND_0549,IND_0263,FAM_061,431,NA,0,137,NA,0,1,S23F8820477_FAM_061,S23F8820477_48
IND_2085,2,48,2,S23F8820477,IND_0549,IND_0263,FAM_061,NA,NA,NA,NA,NA,0,0,S23F8820477_FAM_061,S23F8820477_48
IND_5513,1,48,3,S23F8820477,IND_0549,IND_0263,FAM_061,452,NA,1,66,NA,0,1,S23F8820477_FAM_061,S23F8820477_48
IND_2064,1,48,2,S23F8820477,IND_0549,IND_0263,FAM_061,NA,NA,NA,NA,NA,0,0,S23F8820477_FAM_061,S23F8820477_48
IND_5045,4,47,4,S23F8820477,IND_0003,IND_0133,FAM_051,488,NA,0,99,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_5400,4,47,3,S23F8820477,IND_0003,IND_0133,FAM_051,476,NA,0,104,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_4013,4,47,2,S23F8820477,IND_0003,IND_0133,FAM_051,366,NA,1,85,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_4493,4,47,1,S23F8820477,IND_0003,IND_0133,FAM_051,312,NA,0,78,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_3547,3,47,4,S23F8820477,IND_0003,IND_0133,FAM_051,520,NA,0,102,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_3607,3,47,3,S23F8820477,IND_0003,IND_0133,FAM_051,371,NA,0,48,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_4224,3,47,2,S23F8820477,IND_0003,IND_0133,FAM_051,313,NA,0,81,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_1908,2,47,4,S23F8820477,IND_0003,IND_0133,FAM_051,334,NA,0,66,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_3305,2,47,3,S23F8820477,IND_0003,IND_0133,FAM_051,458,NA,0,100,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_4288,2,47,2,S23F8820477,IND_0003,IND_0133,FAM_051,310,NA,0,54,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_2685,1,47,3,S23F8820477,IND_0003,IND_0133,FAM_051,318,NA,0,83,NA,0,1,S23F8820477_FAM_051,S23F8820477_47
IND_4167,4,46,4,S23F8820477,IND_0114,IND_0133,FAM_062,426,NA,0,122,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_1628,4,46,3,S23F8820477,IND_0114,IND_0133,FAM_062,NA,NA,NA,NA,NA,0,0,S23F8820477_FAM_062,S23F8820477_46
IND_3937,4,46,2,S23F8820477,IND_0114,IND_0133,FAM_062,345,NA,0,119,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_2417,4,46,1,S23F8820477,IND_0114,IND_0133,FAM_062,452,NA,0,108,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_1743,3,46,4,S23F8820477,IND_0114,IND_0133,FAM_062,342,NA,0,103,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_2443,3,46,3,S23F8820477,IND_0114,IND_0133,FAM_062,362,NA,0,99,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_3931,2,46,4,S23F8820477,IND_0114,IND_0133,FAM_062,409,NA,0,132,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_4676,2,46,3,S23F8820477,IND_0114,IND_0133,FAM_062,363,NA,0,115,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_1753,2,46,2,S23F8820477,IND_0114,IND_0133,FAM_062,305,NA,0,108,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_3829,1,46,4,S23F8820477,IND_0114,IND_0133,FAM_062,490,NA,1,163,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
IND_3052,1,46,3,S23F8820477,IND_0114,IND_0133,FAM_062,348,NA,0,127,NA,0,1,S23F8820477_FAM_062,S23F8820477_46
